Project Code,Project Name,Resource,Segment Start,Segment End,Hard Allocation (PD),Soft Allocation (PD)
AP1001,Fixed Assets,csk.dba,01.Jul.2024,01.Oct.2024,0.0,0.0
AP1001,Fixed Assets,csk.dba,01.Oct.2024,01.Jan.2025,0.0,0.0
AP1001,Fixed Assets,csk.dba,01.Jan.2025,01.Apr.2025,0.0,0.0
AP1001,Fixed Assets,csk.dba,01.Apr.2025,01.Jul.2025,0.0,0.0
AP1001,Fixed Assets,csk.dba,01.Jul.2025,01.Oct.2025,0.0,0.0
AP1001,Fixed Assets,csk.dba,01.Oct.2025,01.Jan.2026,0.0,0.0
AP1001,Fixed Assets,csk.dba,01.Jan.2026,01.Apr.2026,0.0,0.0
AP1001,Fixed Assets,csk.dba,01.Apr.2026,01.Jul.2026,0.0,0.0
AP1002,SAP R/3 Human Resources,csk.developer,01.Oct.2024,01.Jan.2025,0.0,0.0
AP1002,SAP R/3 Human Resources,csk.developer,01.Jan.2025,01.Apr.2025,0.0,0.0
AP1002,SAP R/3 Human Resources,csk.developer,01.Apr.2025,01.Jul.2025,0.0,0.0
AP1002,SAP R/3 Human Resources,csk.developer,01.Jul.2025,01.Oct.2025,0.0,0.0
AP1002,SAP R/3 Human Resources,csk.developer,01.Oct.2025,01.Jan.2026,0.0,0.0
AP1002,SAP R/3 Human Resources,csk.developer,01.Jan.2026,01.Apr.2026,0.0,0.0
AP1002,SAP R/3 Human Resources,csk.developer,01.Apr.2026,01.Jul.2026,0.0,0.0
AP1002,SAP R/3 Human Resources,csk.developer,01.Jul.2026,01.Oct.2026,0.0,0.0
AP1003,SAP R/3 Financial Accounting,randyMiller,01.Jun.2024,01.Sep.2024,0.0,0.0
AP1003,SAP R/3 Financial Accounting,randyMiller,01.Sep.2024,01.Dec.2024,0.0,0.0
AP1003,SAP R/3 Financial Accounting,randyMiller,01.Dec.2024,01.Mar.2025,0.0,0.0
AP1003,SAP R/3 Financial Accounting,randyMiller,01.Mar.2025,01.Jun.2025,0.0,0.0
AP1003,SAP R/3 Financial Accounting,randyMiller,01.Jun.2025,01.Sep.2025,0.0,0.0
AP1003,SAP R/3 Financial Accounting,randyMiller,01.Sep.2025,01.Dec.2025,0.0,0.0
AP1003,SAP R/3 Financial Accounting,randyMiller,01.Dec.2025,01.Mar.2026,0.0,0.0
AP1003,SAP R/3 Financial Accounting,randyMiller,01.Mar.2026,01.Jun.2026,0.0,0.0
AP1004,Payroll,csk.architect,01.Aug.2024,01.Nov.2024,0.0,0.0
AP1004,Payroll,csk.architect,01.Nov.2024,01.Feb.2025,0.0,0.0
AP1004,Payroll,csk.architect,01.Feb.2025,01.May.2025,0.0,0.0
AP1004,Payroll,csk.architect,01.May.2025,01.Aug.2025,0.0,0.0
AP1004,Payroll,csk.architect,01.Aug.2025,01.Nov.2025,0.0,0.0
AP1004,Payroll,csk.architect,01.Nov.2025,01.Feb.2026,0.0,0.0
AP1004,Payroll,csk.architect,01.Feb.2026,01.May.2026,0.0,0.0
AP1004,Payroll,csk.architect,01.May.2026,01.Aug.2026,0.0,0.0
AP1005,Supply Chain Datamart Application,joyceColeman,01.Sep.2024,01.Dec.2024,0.0,0.0
AP1005,Supply Chain Datamart Application,joyceColeman,01.Dec.2024,01.Mar.2025,0.0,0.0
AP1005,Supply Chain Datamart Application,joyceColeman,01.Mar.2025,01.Jun.2025,0.0,0.0
AP1005,Supply Chain Datamart Application,joyceColeman,01.Jun.2025,01.Sep.2025,0.0,0.0
AP1005,Supply Chain Datamart Application,joyceColeman,01.Sep.2025,01.Dec.2025,0.0,0.0
AP1005,Supply Chain Datamart Application,joyceColeman,01.Dec.2025,01.Mar.2026,0.0,0.0
AP1005,Supply Chain Datamart Application,joyceColeman,01.Mar.2026,01.Jun.2026,0.0,0.0
AP1005,Supply Chain Datamart Application,joyceColeman,01.Jun.2026,01.Sep.2026,0.0,0.0
AP1005,Supply Chain Datamart Application,rakeshGupta,01.Sep.2024,01.Dec.2024,0.0,0.0
AP1005,Supply Chain Datamart Application,rakeshGupta,01.Dec.2024,01.Mar.2025,0.0,0.0
AP1005,Supply Chain Datamart Application,rakeshGupta,01.Mar.2025,01.Jun.2025,0.0,0.0
AP1005,Supply Chain Datamart Application,rakeshGupta,01.Jun.2025,01.Sep.2025,0.0,0.0
AP1005,Supply Chain Datamart Application,rakeshGupta,01.Sep.2025,01.Dec.2025,0.0,0.0
AP1005,Supply Chain Datamart Application,rakeshGupta,01.Dec.2025,01.Mar.2026,0.0,0.0
AP1005,Supply Chain Datamart Application,rakeshGupta,01.Mar.2026,01.Jun.2026,0.0,0.0
AP1005,Supply Chain Datamart Application,rakeshGupta,01.Jun.2026,01.Sep.2026,0.0,0.0
AP1006,CSS OnLine Retirement Application,artKingsley,01.Aug.2024,01.Nov.2024,0.0,0.0
AP1006,CSS OnLine Retirement Application,artKingsley,01.Nov.2024,01.Feb.2025,0.0,0.0
AP1006,CSS OnLine Retirement Application,artKingsley,01.Feb.2025,01.May.2025,0.0,0.0
AP1006,CSS OnLine Retirement Application,artKingsley,01.May.2025,01.Aug.2025,0.0,0.0
AP1006,CSS OnLine Retirement Application,artKingsley,01.Aug.2025,01.Nov.2025,0.0,0.0
AP1006,CSS OnLine Retirement Application,artKingsley,01.Nov.2025,01.Feb.2026,0.0,0.0
AP1006,CSS OnLine Retirement Application,artKingsley,01.Feb.2026,01.May.2026,0.0,0.0
AP1006,CSS OnLine Retirement Application,artKingsley,01.May.2026,01.Aug.2026,0.0,0.0
AP1006,CSS OnLine Retirement Application,seanEvans,01.Aug.2024,01.Nov.2024,0.0,0.0
AP1006,CSS OnLine Retirement Application,seanEvans,01.Nov.2024,01.Feb.2025,0.0,0.0
AP1006,CSS OnLine Retirement Application,seanEvans,01.Feb.2025,01.May.2025,0.0,0.0
AP1006,CSS OnLine Retirement Application,seanEvans,01.May.2025,01.Aug.2025,0.0,0.0
AP1006,CSS OnLine Retirement Application,seanEvans,01.Aug.2025,01.Nov.2025,0.0,0.0
AP1006,CSS OnLine Retirement Application,seanEvans,01.Nov.2025,01.Feb.2026,0.0,0.0
AP1006,CSS OnLine Retirement Application,seanEvans,01.Feb.2026,01.May.2026,0.0,0.0
AP1006,CSS OnLine Retirement Application,seanEvans,01.May.2026,01.Aug.2026,0.0,0.0
AP1007,Employee Benefits Enrollment Application,nicoleLewis,01.Oct.2024,01.Jan.2025,0.0,0.0
AP1007,Employee Benefits Enrollment Application,nicoleLewis,01.Jan.2025,01.Apr.2025,0.0,0.0
AP1007,Employee Benefits Enrollment Application,nicoleLewis,01.Apr.2025,01.Jul.2025,0.0,0.0
AP1007,Employee Benefits Enrollment Application,nicoleLewis,01.Jul.2025,01.Oct.2025,0.0,0.0
AP1007,Employee Benefits Enrollment Application,nicoleLewis,01.Oct.2025,01.Jan.2026,0.0,0.0
AP1007,Employee Benefits Enrollment Application,nicoleLewis,01.Jan.2026,01.Apr.2026,0.0,0.0
AP1007,Employee Benefits Enrollment Application,nicoleLewis,01.Apr.2026,01.Jul.2026,0.0,0.0
AP1007,Employee Benefits Enrollment Application,nicoleLewis,01.Jul.2026,01.Oct.2026,0.0,0.0
AP1007,Employee Benefits Enrollment Application,wayneHill,01.Oct.2024,01.Jan.2025,0.0,0.0
AP1007,Employee Benefits Enrollment Application,wayneHill,01.Jan.2025,01.Apr.2025,0.0,0.0
AP1007,Employee Benefits Enrollment Application,wayneHill,01.Apr.2025,01.Jul.2025,0.0,0.0
AP1007,Employee Benefits Enrollment Application,wayneHill,01.Jul.2025,01.Oct.2025,0.0,0.0
AP1007,Employee Benefits Enrollment Application,wayneHill,01.Oct.2025,01.Jan.2026,0.0,0.0
AP1007,Employee Benefits Enrollment Application,wayneHill,01.Jan.2026,01.Apr.2026,0.0,0.0
AP1007,Employee Benefits Enrollment Application,wayneHill,01.Apr.2026,01.Jul.2026,0.0,0.0
AP1007,Employee Benefits Enrollment Application,wayneHill,01.Jul.2026,01.Oct.2026,0.0,0.0
AP1007,Employee Benefits Enrollment Application,valerieChilders,01.Oct.2024,01.Jan.2025,0.0,0.0
AP1007,Employee Benefits Enrollment Application,valerieChilders,01.Jan.2025,01.Apr.2025,0.0,0.0
AP1007,Employee Benefits Enrollment Application,valerieChilders,01.Apr.2025,01.Jul.2025,0.0,0.0
AP1007,Employee Benefits Enrollment Application,valerieChilders,01.Jul.2025,01.Oct.2025,0.0,0.0
AP1007,Employee Benefits Enrollment Application,valerieChilders,01.Oct.2025,01.Jan.2026,0.0,0.0
AP1007,Employee Benefits Enrollment Application,valerieChilders,01.Jan.2026,01.Apr.2026,0.0,0.0
AP1007,Employee Benefits Enrollment Application,valerieChilders,01.Apr.2026,01.Jul.2026,0.0,0.0
AP1007,Employee Benefits Enrollment Application,valerieChilders,01.Jul.2026,01.Oct.2026,0.0,0.0
AP1008,Employee Benefits Admin Application,nicoleLewis,01.Jun.2024,01.Sep.2024,0.0,0.0
AP1008,Employee Benefits Admin Application,nicoleLewis,01.Sep.2024,01.Dec.2024,0.0,0.0
AP1008,Employee Benefits Admin Application,nicoleLewis,01.Dec.2024,01.Mar.2025,0.0,0.0
AP1008,Employee Benefits Admin Application,nicoleLewis,01.Mar.2025,01.Jun.2025,0.0,0.0
AP1008,Employee Benefits Admin Application,nicoleLewis,01.Jun.2025,01.Sep.2025,0.0,0.0
