Project Code,Project Name,Resource,Segment Start,Segment End,Hard Allocation (PD),Soft Allocation (PD)
PR1016,Automated Security Enhancements,csk.projectManager,01.Jan.2025,01.Apr.2025,0.0,2.0
PR1016,Automated Security Enhancements,csk.projectManager,01.Apr.2025,01.Jul.2025,0.0,1.0
PR1016,Automated Security Enhancements,csk.projectManager,01.Jul.2025,01.Oct.2025,0.0,0.0
PR1016,Automated Security Enhancements,bruceTurner,01.Jan.2025,01.Apr.2025,0.0,1.0
PR1016,Automated Security Enhancements,bruceTurner,01.Apr.2025,01.Jul.2025,0.0,0.0
PR1016,Automated Security Enhancements,bruceTurner,01.Jul.2025,01.Oct.2025,0.0,0.0
PR1016,Automated Security Enhancements,jasonSauer,01.Jan.2025,01.Apr.2025,0.0,2.0
PR1016,Automated Security Enhancements,jasonSauer,01.Apr.2025,01.Jul.2025,0.0,0.0
PR1016,Automated Security Enhancements,jasonSauer,01.Jul.2025,01.Oct.2025,0.0,0.0
PR1016,Automated Security Enhancements,erinGillian,01.Jan.2025,01.Apr.2025,0.0,4.0
PR1016,Automated Security Enhancements,erinGillian,01.Apr.2025,01.Jul.2025,0.0,0.0
PR1016,Automated Security Enhancements,erinGillian,01.Jul.2025,01.Oct.2025,0.0,0.0
PR1016,Automated Security Enhancements,valerieChilders,01.Jan.2025,01.Apr.2025,0.0,1.0
PR1016,Automated Security Enhancements,valerieChilders,01.Apr.2025,01.Jul.2025,0.0,0.0
PR1016,Automated Security Enhancements,valerieChilders,01.Jul.2025,01.Oct.2025,0.0,0.0
PR1016,Automated Security Enhancements,jasonBerry,01.Jan.2025,01.Apr.2025,1.0,0.0
PR1016,Automated Security Enhancements,jasonBerry,01.Apr.2025,01.Jul.2025,0.0,0.0
PR1016,Automated Security Enhancements,jasonBerry,01.Jul.2025,01.Oct.2025,0.0,0.0
PR1016,Automated Security Enhancements,maryNewburg,01.Jan.2025,01.Apr.2025,0.0,1.0
PR1016,Automated Security Enhancements,maryNewburg,01.Apr.2025,01.Jul.2025,0.0,0.0
PR1016,Automated Security Enhancements,maryNewburg,01.Jul.2025,01.Oct.2025,0.0,0.0
PR1016,Automated Security Enhancements,markGoldman,01.Jan.2025,01.Apr.2025,0.0,2.0
PR1016,Automated Security Enhancements,markGoldman,01.Apr.2025,01.Jul.2025,0.0,1.0
PR1016,Automated Security Enhancements,markGoldman,01.Jul.2025,01.Oct.2025,0.0,0.0
PR1016,Automated Security Enhancements,ianConner,01.Jan.2025,01.Apr.2025,0.0,0.0
PR1016,Automated Security Enhancements,ianConner,01.Apr.2025,01.Jul.2025,0.0,0.0
PR1016,Automated Security Enhancements,ianConner,01.Jul.2025,01.Oct.2025,0.0,0.0
